Row,Vaccine,Geography Type,Geography,Season,Personnel Type,Estimate (%),95% CI (%),Sample Size,,Check State,,
1,Seasonal Influenza,States,Alabama,2013-14,All Health Care Personnel,72.2,,"117,874",,Row Labels,Count of Geography,
2,Seasonal Influenza,States,Alaska,2013-14,All Health Care Personnel,72.8,,"13,796",,Alabama,28,1
3,Seasonal Influenza,States,Arizona,2013-14,All Health Care Personnel,76.8,,"134,171",,Alaska,28,2
4,Seasonal Influenza,States,Arkansas,2013-14,All Health Care Personnel,82.4,,"78,401",,Arizona,28,3
5,Seasonal Influenza,States,California,2013-14,All Health Care Personnel,79.3,,"826,671",,Arkansas,28,4
6,Seasonal Influenza,States,Colorado,2013-14,All Health Care Personnel,94.9,,"122,917",,California,28,5
7,Seasonal Influenza,States,Connecticut,2013-14,All Health Care Personnel,85.6,,"104,689",,Colorado,28,6
8,Seasonal Influenza,States,Delaware,2013-14,All Health Care Personnel,92.1,,"28,643",,Connecticut,28,7
9,Seasonal Influenza,States,District of Columbia,2013-14,All Health Care Personnel,95.5,,"34,917",,Delaware,28,8
10,Seasonal Influenza,States,Florida,2013-14,All Health Care Personnel,64.4,,"454,912",,District of Columbia,28,9
11,Seasonal Influenza,States,Georgia,2013-14,All Health Care Personnel,86.2,,"203,113",,Florida,28,10
12,Seasonal Influenza,States,Hawaii,2013-14,All Health Care Personnel,66.6,,"25,963",,Georgia,28,11
13,Seasonal Influenza,States,Idaho,2013-14,All Health Care Personnel,78.8,,"30,910",,Hawaii,28,12
14,Seasonal Influenza,States,Illinois,2013-14,All Health Care Personnel,83.3,,"348,153",,Idaho,28,13
15,Seasonal Influenza,States,Indiana,2013-14,All Health Care Personnel,87.5,,"193,924",,Illinois,28,14
16,Seasonal Influenza,States,Iowa,2013-14,All Health Care Personnel,91.2,,"97,212",,Indiana,28,15
17,Seasonal Influenza,States,Kansas,2013-14,All Health Care Personnel,88.7,,"73,957",,Iowa,28,16
18,Seasonal Influenza,States,Kentucky,2013-14,All Health Care Personnel,75.2,,"115,348",,Kansas,28,17
19,Seasonal Influenza,States,Louisiana,2013-14,All Health Care Personnel,71.2,,"133,614",,Kentucky,28,18
20,Seasonal Influenza,States,Maine,2013-14,All Health Care Personnel,85.8,,"39,038",,Louisiana,28,19
21,Seasonal Influenza,States,Maryland,2013-14,All Health Care Personnel,96.4,,"132,775",,Maine,28,20
22,Seasonal Influenza,States,Massachusetts,2013-14,All Health Care Personnel,86.1,,"243,507",,Maryland,28,21
23,Seasonal Influenza,States,Michigan,2013-14,All Health Care Personnel,81.5,,"280,625",,Massachusetts,28,22
